Location,Density
New Jersey,"1,263"
Rhode Island,"1,060"
Massachusetts,898
Connecticut,747
Maryland,637
Delaware,529
Florida,422
New York,415
Pennsylvania,290
Ohio,288
California,250
Illinois,226
Hawaii,223
North Carolina,223
Virginia,221
Georgia,192
Indiana,192
South Carolina,179
Michigan,178
Tennessee,173
New Hampshire,157
Washington,118
Texas,117
Kentucky,115
Wisconsin,109
Louisiana,106
Alabama,101
Missouri,90
West Virginia,74
Minnesota,72
Vermont,70
Arizona,65
Mississippi,63
Oklahoma,59
Arkansas,59
Iowa,57
Colorado,57
Maine,45
Oregon,44
Utah,42
Kansas,36
Nevada,29
Nebraska,26
Idaho,24
New Mexico,17
South Dakota,12
North Dakota,11
Montana,7.8
Wyoming,6
Alaska,1.3
District of Columbia,"11,131"